Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID
Cal St. Fullerton,Big West,Low-Major,33.8830939,-117.8852152,800,,192.0,0.091,1,0.025,45.14,177,177,0.5,2025-26,2025-26-Cal St. Fullerton
NIU,MAC,Low-Major,41.9370934,-88.7826784,1425,,200.5,0.154,3,0.05700000000000001,42.71,335,335,0.25,2025-26,2025-26-NIU
Colorado,Big 12,Power,40.0070061,-105.2664423,Boulder,,48.9,0.5,25,0.557,86.03,77,77,0.53125,2025-26,2025-26-Colorado
San Jose St.,Mountain West,Mid-Major,37.3351903,-121.881225,1,,113.7,0.083,17,0.3812,67.51,244,244,0.25,2025-26,2025-26-San Jose St.
Penn St.,Big Ten,Power,39.9512098,-75.1835561,Walnut Street,,55.7,0.5,32,0.5892,84.09,141,141,0.375,2025-26,2025-26-Penn St.
CSU Bakersfield,Big West,Low-Major,35.3472,-119.1041,Bakersfield,CA,192.0,0.091,1,0.025,45.14,330,330,0.2,2025-26,2025-26-CSU Bakersfield
Maryland,Big Ten,Power,38.9904124,-76.9438586,College Park,,55.7,0.5,32,0.5892,84.09,138,138,0.36363636363636365,2025-26,2025-26-Maryland
Miami (OH),MAC,Low-Major,39.5094198,-84.7311546,South Patterson Avenue,,200.5,0.154,3,0.05700000000000001,42.71,64,64,0.9655172413793104,2025-26,2025-26-Miami (OH)
Winthrop,Big South,Low-Major,34.9391204,-81.0324911,Sumter Avenue,,236.7,0.111,3,0.085,32.37,131,131,0.6451612903225806,2025-26,2025-26-Winthrop
Vanderbilt,SEC,Power,36.1438011,-86.8028189,2201,,46.4,0.625,34,0.5916,86.74,13,13,0.7878787878787878,2025-26,2025-26-Vanderbilt
Holy Cross,Patriot,Low-Major,42.2366865,-71.8070248,1,,280.7,0.1,5,0.1538,19.8,331,331,0.2903225806451613,2025-26,2025-26-Holy Cross
Rutgers,Big Ten,Power,40.5204169,-74.4645303,Dewey Court,,55.7,0.5,32,0.5892,84.09,135,135,0.42424242424242425,2025-26,2025-26-Rutgers
Lipscomb,ASUN,Low-Major,36.1050717,-86.7986409,Burton Avenue,,259.9,0.083,4,0.0816,25.74,193,193,0.5666666666666667,2025-26,2025-26-Lipscomb
California,ACC,Power,37.8754996,-122.2390685,Berkeley,,62.0,0.444,19,0.3154,82.29,68,68,0.6451612903225806,2025-26,2025-26-California
Purdue,Big Ten,Power,40.430028,-86.9264211,610,,55.7,0.5,32,0.5892,84.09,9,9,0.7647058823529411,2025-26,2025-26-Purdue
Kentucky,SEC,Power,38.0266291,-84.5047222,101,,46.4,0.625,34,0.5916,86.74,28,28,0.6176470588235294,2025-26,2025-26-Kentucky
Duquesne,Atlantic 10,Mid-Major,40.4381017,-79.9896684,Forbes Avenue,,132.2,0.143,5,0.0838,62.23,133,133,0.5161290322580645,2025-26,2025-26-Duquesne
BYU,Big 12,Power,40.2554083,-111.6496832,800 North,,48.9,0.5,25,0.557,86.03,23,23,0.6764705882352942,2025-26,2025-26-BYU
Marshall,Sun Belt,Low-Major,38.4236258,-82.4274024,1,,226.1,0.071,4,0.0804,35.4,171,171,0.5806451612903226,2025-26,2025-26-Marshall
Tennessee,SEC,Power,35.9516352,-83.9308819,Knoxville,,46.4,0.625,34,0.5916,86.74,20,20,0.6666666666666666,2025-26,2025-26-Tennessee
Queens (NC),ASUN,Low-Major,35.1889,-80.7326,Charlotte,NC,259.9,0.083,4,0.0816,25.74,189,189,0.6060606060606061,2025-26,2025-26-Queens (NC)
IU Indy,Horizon,Low-Major,39.7747586,-86.1769528,420,,221.2,0.091,3,0.089,36.8,319,319,0.16666666666666666,2025-26,2025-26-IU Indy
ULM,Sun Belt,Low-Major,32.5318286,-92.0658112,700,,226.1,0.071,4,0.0804,35.4,355,355,0.06666666666666667,2025-26,2025-26-ULM
Providence,Big East,Power,41.8442938,-71.4354886,1,,67.5,0.273,19,0.487,80.71,81,81,0.45454545454545453,2025-26,2025-26-Providence
Memphis,American,Low-Major,35.1189387,-89.9372196,Zack H Curlin Street,,160.3,0.077,8,0.1528,54.2,134,134,0.40625,2025-26,2025-26-Memphis
Southern Ill.,MVC,Mid-Major,37.7083423,-89.2275556,1263,,141.1,0.091,5,0.1096,59.69,120,120,0.4838709677419355,2025-26,2025-26-Southern Ill.
Col. of Charleston,CAA,Low-Major,32.7840902,-79.9380024,66,,192.4,0.077,3,0.0756,45.03,162,162,0.6451612903225806,2025-26,2025-26-Col. of Charleston
Liberty,CUSA,Low-Major,37.3539467,-79.1531533,1971,,188.7,0.083,4,0.0954,46.09,106,106,0.7586206896551724,2025-26,2025-26-Liberty
Bradley,MVC,Mid-Major,40.6981131,-89.6155139,1501,,141.1,0.091,5,0.1096,59.69,113,113,0.625,2025-26,2025-26-Bradley
Oakland,Horizon,Low-Major,42.6666333,-83.2065575,201,,221.2,0.091,3,0.089,36.8,175,175,0.4838709677419355,2025-26,2025-26-Oakland
Central Conn. St.,NEC,Low-Major,41.6929278,-72.765429,1615,,304.0,0.1,4,0.13540000000000002,13.14,289,289,0.5714285714285714,2025-26,2025-26-Central Conn. St.
Syracuse,ACC,Power,43.0171129,-76.1185536,Tecumseh Road,,62.0,0.444,19,0.3154,82.29,86,86,0.46875,2025-26,2025-26-Syracuse
UC Riverside,Big West,Low-Major,33.9642576,-117.3398097,Riverside,,192.0,0.091,1,0.025,45.14,273,273,0.26666666666666666,2025-26,2025-26-UC Riverside
Florida St.,ACC,Power,27.7627389,-82.6361822,140,,62.0,0.444,19,0.3154,82.29,62,62,0.5454545454545454,2025-26,2025-26-Florida St.
Southern California,Big Ten,Power,34.021869,-118.2858579,Harbor Freeway,,55.7,0.5,32,0.5892,84.09,79,79,0.5483870967741935,2025-26,2025-26-Southern California
Howard,MEAC,Low-Major,38.9218972,-77.0195931,2400,,330.9,0.125,5,0.1414,5.46,203,203,0.6551724137931034,2025-26,2025-26-Howard
UMES,MEAC,Low-Major,38.2107,-75.6855,Princess Anne,MD,330.9,0.125,5,0.1414,5.46,351,351,0.23333333333333334,2025-26,2025-26-UMES
North Dakota St.,Summit League,Low-Major,46.897155,-96.8182654,12th Avenue North,,238.9,0.111,3,0.0786,31.74,114,114,0.7741935483870968,2025-26,2025-26-North Dakota St.
Washington,Big Ten,Power,47.6554303,-122.3001692,1410,,55.7,0.5,32,0.5892,84.09,57,57,0.48484848484848486,2025-26,2025-26-Washington
Fordham,Atlantic 10,Mid-Major,40.8617344,-73.8860317,441,,132.2,0.143,5,0.0838,62.23,174,174,0.4827586206896552,2025-26,2025-26-Fordham
LMU (CA),WCC,Mid-Major,36.5718381,-83.661624,6965,,137.4,0.25,9,0.24100000000000002,60.74,179,179,0.45161290322580644,2025-26,2025-26-LMU (CA)
Saint Louis,Atlantic 10,Mid-Major,38.6472402,-90.3084017,1,,132.2,0.143,5,0.0838,62.23,30,30,0.84375,2025-26,2025-26-Saint Louis
Chattanooga,SoCon,Low-Major,35.0470904,-85.298257,615,,248.3,0.1,1,0.0222,29.06,288,288,0.3448275862068966,2025-26,2025-26-Chattanooga
VCU,Atlantic 10,Mid-Major,37.5461247,-77.4540609,907,,132.2,0.143,5,0.0838,62.23,43,43,0.7878787878787878,2025-26,2025-26-VCU
Illinois St.,MVC,Mid-Major,38.9526899,-95.2454027,University Place,,141.1,0.091,5,0.1096,59.69,95,95,0.6129032258064516,2025-26,2025-26-Illinois St.
New Orleans,Southland,Low-Major,30.0283526,-90.0668428,Elysian Fields Avenue,,221.2,0.083,3,0.08020000000000001,36.8,215,215,0.45454545454545453,2025-26,2025-26-New Orleans
Northwestern,Big Ten,Power,42.0557157,-87.6752945,633,,55.7,0.5,32,0.5892,84.09,66,66,0.4411764705882353,2025-26,2025-26-Northwestern
Temple,American,Low-Major,39.981188,-75.1562828,1801,,160.3,0.077,8,0.1528,54.2,167,167,0.4838709677419355,2025-26,2025-26-Temple
Manhattan,MAAC,Low-Major,40.8125642,-73.9612954,West 122nd Street,,262.2,0.077,3,0.075,25.09,329,329,0.3548387096774194,2025-26,2025-26-Manhattan
UConn,Big East,Power,41.8111114,-72.2483889,Storrs Road,,67.5,0.273,19,0.487,80.71,10,10,0.8529411764705882,2025-26,2025-26-UConn
Davidson,Atlantic 10,Mid-Major,40.8594824,-73.9043894,University Heights,,132.2,0.143,5,0.0838,62.23,115,115,0.5806451612903226,2025-26,2025-26-Davidson
UCF,Big 12,Power,28.599591,-81.1971284,4000,,48.9,0.5,25,0.557,86.03,51,51,0.65625,2025-26,2025-26-UCF
Merrimack,MAAC,Low-Major,42.6519097,-71.3173628,Middlesex Street,,262.2,0.077,3,0.075,25.09,180,180,0.6764705882352942,2025-26,2025-26-Merrimack
Bellarmine,ASUN,Low-Major,38.2187504,-85.7058411,2001,,259.9,0.083,4,0.0816,25.74,285,285,0.36666666666666664,2025-26,2025-26-Bellarmine
Stetson,ASUN,Low-Major,29.0365347,-81.3005411,421,,259.9,0.083,4,0.0816,25.74,314,314,0.3225806451612903,2025-26,2025-26-Stetson
Michigan,Big Ten,Power,42.2942142,-83.7100389,500,,55.7,0.5,32,0.5892,84.09,2,2,0.9393939393939394,2025-26,2025-26-Michigan
Murray St.,MVC,Mid-Major,36.6129699,-88.322088,Olive Boulevard,,141.1,0.091,5,0.1096,59.69,105,105,0.625,2025-26,2025-26-Murray St.
Virginia,ACC,Power,38.0410576,-78.5055084,Goodwin Bridge,,62.0,0.444,19,0.3154,82.29,12,12,0.8529411764705882,2025-26,2025-26-Virginia
UMass Lowell,America East,Low-Major,42.6519097,-71.3173628,Cross Street,,310.9,0.111,5,0.13140000000000002,11.17,321,321,0.4,2025-26,2025-26-UMass Lowell
Lindenwood,OVC,Low-Major,38.5230861,-90.01096,2600,,275.6,0.091,2,0.0422,21.26,262,262,0.5,2025-26,2025-26-Lindenwood
Mississippi Val.,SWAC,Low-Major,33.5138,-90.34,Itta Bena,MS,315.8,0.083,3,0.0908,9.77,365,365,0.0625,2025-26,2025-26-Mississippi Val.
Cornell,Ivy League,Low-Major,42.4529076,-76.4800842,City of Ithaca,,188.6,0.125,3,0.0822,46.11,149,149,0.5,2025-26,2025-26-Cornell
A&M-Corpus Christi,Southland,Low-Major,27.7127514,-97.3233877,Starfish Lane,,221.2,0.083,3,0.08020000000000001,36.8,191,191,0.4827586206896552,2025-26,2025-26-A&M-Corpus Christi
Akron,MAC,Low-Major,41.0757383,-81.5114532,Wolf Ledges Parkway,,200.5,0.154,3,0.05700000000000001,42.71,54,54,0.84375,2025-26,2025-26-Akron
Wagner,NEC,Low-Major,35.3071604,-80.7373778,Toby Creek Greenway,,304.0,0.1,4,0.13540000000000002,13.14,302,302,0.39285714285714285,2025-26,2025-26-Wagner
Mercyhurst,NEC,Low-Major,42.1041456,-80.0538851,501,,304.0,0.1,4,0.13540000000000002,13.14,277,277,0.46875,2025-26,2025-26-Mercyhurst
UNLV,Mountain West,Mid-Major,36.1079411,-115.1439051,Las Vegas,,113.7,0.083,17,0.3812,67.51,111,111,0.5,2025-26,2025-26-UNLV
Colgate,Patriot,Low-Major,42.8154037,-75.5395816,Broad Street,,280.7,0.1,5,0.1538,19.8,226,226,0.5161290322580645,2025-26,2025-26-Colgate
Texas Tech,Big 12,Power,33.5937526,-101.8995955,2500,,48.9,0.5,25,0.557,86.03,19,19,0.6875,2025-26,2025-26-Texas Tech
UTEP,CUSA,Low-Major,31.7702,-106.5044,El Paso,TX,188.7,0.083,4,0.0954,46.09,268,268,0.2857142857142857,2025-26,2025-26-UTEP
Oregon St.,WCC,Mid-Major,45.5161924,-122.6807637,620,,137.4,0.25,9,0.24100000000000002,60.74,170,170,0.5151515151515151,2025-26,2025-26-Oregon St.
NC State,ACC,Power,35.7718497,-78.674087,Pullen Road,,62.0,0.444,19,0.3154,82.29,36,36,0.6060606060606061,2025-26,2025-26-NC State
Iowa,Big Ten,Power,41.6682891,-91.5795068,North Riverside Drive,,55.7,0.5,32,0.5892,84.09,27,27,0.6363636363636364,2025-26,2025-26-Iowa
Green Bay,Horizon,Low-Major,44.5328424,-87.9198844,2420,,221.2,0.091,3,0.089,36.8,217,217,0.5161290322580645,2025-26,2025-26-Green Bay
Alabama,SEC,Power,33.2120822,-87.5396735,Julia Tutwiler Drive,,46.4,0.625,34,0.5916,86.74,18,18,0.71875,2025-26,2025-26-Alabama
Texas St.,Sun Belt,Low-Major,33.2161837,-97.1452758,Ponder Street,,226.1,0.071,4,0.0804,35.4,235,235,0.5666666666666667,2025-26,2025-26-Texas St.
LSU,SEC,Power,30.4062005,-91.1854129,Normal Place,,46.4,0.625,34,0.5916,86.74,78,78,0.46875,2025-26,2025-26-LSU
CSUN,Big West,Low-Major,34.2455346,-118.5263221,Northridge,,192.0,0.091,1,0.025,45.14,188,188,0.5625,2025-26,2025-26-CSUN
Hampton,CAA,Low-Major,37.0210096,-76.3386255,100,,192.4,0.077,3,0.0756,45.03,270,270,0.36666666666666664,2025-26,2025-26-Hampton
North Texas,American,Low-Major,33.2098926,-97.1514762,1155,,160.3,0.077,8,0.1528,54.2,137,137,0.5483870967741935,2025-26,2025-26-North Texas
Sam Houston,CUSA,Low-Major,30.7133471,-95.5449136,1905,,188.7,0.083,4,0.0954,46.09,107,107,0.6333333333333333,2025-26,2025-26-Sam Houston
UC Davis,Big West,Low-Major,38.5337904,-121.7907544,Davis,,192.0,0.091,1,0.025,45.14,178,178,0.5483870967741935,2025-26,2025-26-UC Davis
N.C. Central,MEAC,Low-Major,35.9742,-78.8986,Durham,NC,330.9,0.125,5,0.1414,5.46,342,342,0.35714285714285715,2025-26,2025-26-N.C. Central
Air Force,Mountain West,Mid-Major,39.008415,-104.8903879,2306,,113.7,0.083,17,0.3812,67.51,350,350,0.09375,2025-26,2025-26-Air Force
Morgan St.,MEAC,Low-Major,39.3446663,-76.5836094,1700,,330.9,0.125,5,0.1414,5.46,352,352,0.4074074074074074,2025-26,2025-26-Morgan St.
Cincinnati,Big 12,Power,39.1134631,-84.5544375,Claypole Avenue,,48.9,0.5,25,0.557,86.03,49,49,0.5454545454545454,2025-26,2025-26-Cincinnati
Tennessee St.,OVC,Low-Major,36.1679249,-86.8271487,Albion Street,,275.6,0.091,2,0.0422,21.26,172,172,0.6896551724137931,2025-26,2025-26-Tennessee St.
Quinnipiac,MAAC,Low-Major,41.4181949,-72.8931049,275,,262.2,0.077,3,0.075,25.09,211,211,0.5806451612903226,2025-26,2025-26-Quinnipiac
Little Rock,OVC,Low-Major,34.7223681,-92.3383026,2801,,275.6,0.091,2,0.0422,21.26,309,309,0.3333333333333333,2025-26,2025-26-Little Rock
Wisconsin,Big Ten,Power,43.0802745,-89.4309587,University Houses,,55.7,0.5,32,0.5892,84.09,25,25,0.7058823529411765,2025-26,2025-26-Wisconsin
Long Beach St.,Big West,Low-Major,33.7817709,-118.1152001,Long Beach,,192.0,0.091,1,0.025,45.14,257,257,0.26666666666666666,2025-26,2025-26-Long Beach St.
Minnesota,Big Ten,Power,44.9863418,-93.1794451,Twin Cities Campus,,55.7,0.5,32,0.5892,84.09,80,80,0.46875,2025-26,2025-26-Minnesota
Samford,SoCon,Low-Major,33.4641484,-86.7939592,Shades Creek Greenway (Lakeshore Trail),,248.3,0.1,1,0.0222,29.06,218,218,0.5333333333333333,2025-26,2025-26-Samford
Houston Christian,Southland,Low-Major,29.6944292,-95.5147559,7502,,221.2,0.083,3,0.08020000000000001,36.8,294,294,0.3333333333333333,2025-26,2025-26-Houston Christian
Eastern Ill.,OVC,Low-Major,39.4842,-88.1753,Charleston,IL,275.6,0.091,2,0.0422,21.26,320,320,0.3333333333333333,2025-26,2025-26-Eastern Ill.
New Hampshire,America East,Low-Major,43.1350987,-70.9462079,105,,310.9,0.111,5,0.13140000000000002,11.17,348,348,0.25,2025-26,2025-26-New Hampshire
Siena,MAAC,Low-Major,41.9062844,-84.0179652,1247,,262.2,0.077,3,0.075,25.09,183,183,0.6764705882352942,2025-26,2025-26-Siena
Grand Canyon,Mountain West,Mid-Major,33.5131857,-112.127183,3300,,113.7,0.083,17,0.3812,67.51,71,71,0.625,2025-26,2025-26-Grand Canyon
High Point,Big South,Low-Major,35.9720859,-79.9936582,Blessing Way,,236.7,0.111,3,0.085,32.37,76,76,0.8709677419354839,2025-26,2025-26-High Point
Oregon,Big Ten,Power,44.0444197,-123.0717603,1585,,55.7,0.5,32,0.5892,84.09,109,109,0.375,2025-26,2025-26-Oregon
Texas Southern,SWAC,Low-Major,29.7209058,-95.3596267,Ruth Street,,315.8,0.083,3,0.0908,9.77,322,322,0.35714285714285715,2025-26,2025-26-Texas Southern
N.C. A&T,CAA,Low-Major,36.0726,-79.773,Greensboro,NC,192.4,0.077,3,0.0756,45.03,276,276,0.32142857142857145,2025-26,2025-26-N.C. A&T
Northwestern St.,Southland,Low-Major,29.7215812,-95.4400102,Greenway / Upper Kirby,,221.2,0.083,3,0.08020000000000001,36.8,301,301,0.26666666666666666,2025-26,2025-26-Northwestern St.
Prairie View,SWAC,Low-Major,30.0960955,-95.9870007,700,,315.8,0.083,3,0.0908,9.77,300,300,0.45161290322580644,2025-26,2025-26-Prairie View
Seton Hall,Big East,Power,40.7433314,-74.2468921,Gardner Avenue,,67.5,0.273,19,0.487,80.71,53,53,0.6363636363636364,2025-26,2025-26-Seton Hall
Indiana St.,MVC,Mid-Major,38.9527388,-95.2430182,University Place,,141.1,0.091,5,0.1096,59.69,213,213,0.3,2025-26,2025-26-Indiana St.
San Diego,WCC,Mid-Major,32.7726302,-117.1891347,5998,,137.4,0.25,9,0.24100000000000002,60.74,234,234,0.3225806451612903,2025-26,2025-26-San Diego
La Salle,Atlantic 10,Mid-Major,40.0376298,-75.1540025,East Penn Street,,132.2,0.143,5,0.0838,62.23,246,246,0.25806451612903225,2025-26,2025-26-La Salle
Southeast Mo. St.,OVC,Low-Major,37.3175802,-89.5284899,North Frederick Street,,275.6,0.091,2,0.0422,21.26,224,224,0.5666666666666667,2025-26,2025-26-Southeast Mo. St.
Texas A&M,SEC,Power,30.6108618,-96.3520606,400,,46.4,0.625,34,0.5916,86.74,44,44,0.65625,2025-26,2025-26-Texas A&M
Purdue Fort Wayne,Horizon,Low-Major,41.1210815,-85.1057891,2101,,221.2,0.091,3,0.089,36.8,254,254,0.4827586206896552,2025-26,2025-26-Purdue Fort Wayne
Detroit Mercy,Horizon,Low-Major,42.4140319,-83.1378601,4001,,221.2,0.091,3,0.089,36.8,221,221,0.5,2025-26,2025-26-Detroit Mercy
New Mexico St.,CUSA,Low-Major,32.2729032,-106.7434927,1780,,188.7,0.083,4,0.0954,46.09,190,190,0.4482758620689655,2025-26,2025-26-New Mexico St.
Saint Francis,NEC,Low-Major,40.5034672,-78.6382564,117,,304.0,0.1,4,0.13540000000000002,13.14,353,353,0.1724137931034483,2025-26,2025-26-Saint Francis
Delaware,CUSA,Low-Major,39.6802837,-75.7530984,Academy Street,,188.7,0.083,4,0.0954,46.09,287,287,0.3333333333333333,2025-26,2025-26-Delaware
Richmond,Atlantic 10,Mid-Major,37.5758797,-77.5412837,28,,132.2,0.143,5,0.0838,62.23,165,165,0.45161290322580644,2025-26,2025-26-Richmond
Missouri St.,CUSA,Low-Major,38.7086398,-90.3117145,Clearview Drive,,188.7,0.083,4,0.0954,46.09,206,206,0.41935483870967744,2025-26,2025-26-Missouri St.
App State,Sun Belt,Low-Major,36.2120057,-81.6789456,287,,226.1,0.071,4,0.0804,35.4,192,192,0.5666666666666667,2025-26,2025-26-App State
George Mason,Atlantic 10,Mid-Major,38.8313333,-77.3079884,4400,,132.2,0.143,5,0.0838,62.23,92,92,0.7096774193548387,2025-26,2025-26-George Mason
ETSU,SoCon,Low-Major,36.3024236,-82.3692822,1276,,248.3,0.1,1,0.0222,29.06,139,139,0.65625,2025-26,2025-26-ETSU
UNI,MVC,Mid-Major,42.5149569,-92.4629522,1227,,141.1,0.091,5,0.1096,59.69,72,72,0.6470588235294118,2025-26,2025-26-UNI
Fairfield,MAAC,Low-Major,41.1596757,-73.2574031,1073,,262.2,0.077,3,0.075,25.09,240,240,0.6060606060606061,2025-26,2025-26-Fairfield
Old Dominion,Sun Belt,Low-Major,36.8862699,-76.3097248,5115,,226.1,0.071,4,0.0804,35.4,255,255,0.34375,2025-26,2025-26-Old Dominion
Drake,MVC,Mid-Major,41.6030742,-93.6552753,29th Street,,141.1,0.091,5,0.1096,59.69,199,199,0.375,2025-26,2025-26-Drake
North Carolina,ACC,Power,35.9050354,-79.0477533,Ray Road,,62.0,0.444,19,0.3154,82.29,24,24,0.75,2025-26,2025-26-North Carolina
Houston,Big 12,Power,29.7207902,-95.3440627,4800,,48.9,0.5,25,0.557,86.03,5,5,0.8235294117647058,2025-26,2025-26-Houston
Western Caro.,SoCon,Low-Major,35.3100146,-83.1990402,65,,248.3,0.1,1,0.0222,29.06,228,228,0.4482758620689655,2025-26,2025-26-Western Caro.
Ohio,MAC,Low-Major,39.3241782,-82.1015648,West Union Street,,200.5,0.154,3,0.05700000000000001,42.71,231,231,0.43333333333333335,2025-26,2025-26-Ohio
Rice,American,Low-Major,29.7167915,-95.4047811,6100,,160.3,0.077,8,0.1528,54.2,243,243,0.3793103448275862,2025-26,2025-26-Rice
South Alabama,Sun Belt,Low-Major,30.6972412,-88.1892334,307,,226.1,0.071,4,0.0804,35.4,187,187,0.6333333333333333,2025-26,2025-26-South Alabama
UC San Diego,Big West,Low-Major,32.8792438,-117.2311247,San Diego,,192.0,0.091,1,0.025,45.14,124,124,0.65625,2025-26,2025-26-UC San Diego
Bucknell,Patriot,Low-Major,40.9515356,-76.8879603,Westbranch Highway,,280.7,0.1,5,0.1538,19.8,333,333,0.30303030303030304,2025-26,2025-26-Bucknell
UNC Asheville,Big South,Low-Major,35.6171,-82.5663,Asheville,NC,236.7,0.111,3,0.085,32.37,239,239,0.41379310344827586,2025-26,2025-26-UNC Asheville
Pacific,WCC,Mid-Major,45.5226463,-123.1093187,2043,,137.4,0.25,9,0.24100000000000002,60.74,116,116,0.5161290322580645,2025-26,2025-26-Pacific
Wyoming,Mountain West,Mid-Major,41.314986,-105.5643222,1000,,113.7,0.083,17,0.3812,67.51,99,99,0.5483870967741935,2025-26,2025-26-Wyoming
