Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID,Conf_Tier_4,BidRate_Pct,Best_NET_Score,Avg_Q1_Wins,Avg_SOS,Tournament_Bids_2026,Total_Bids_5yr,BidRate_5yr_Pct,Tier_Norm_Strength,Tier_Norm_BidRate,Tier_Norm_Q1Wins,Tier_Norm_BestNET,Tier_Norm_Composite,Composite_Raw,Tier_Rank,Tier_Rank_Score,Tier_Strength_Rank,Strength_Amplified,Strength_Multiplied
Elon,CAA,Low-Major,36.1063398,-79.5027368,Trollinger Avenue,,192.4,0.077,3,0.0756,45.03,223,223,0.4,2025-26,2025-26-Elon,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Cal St. Fullerton,Big West,Low-Major,33.8830939,-117.8852152,800,,192.0,0.091,1,0.025,45.14,177,177,0.5,2025-26,2025-26-Cal St. Fullerton,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
NIU,MAC,Low-Major,41.9370934,-88.7826784,1425,,200.5,0.154,3,0.057,42.71,335,335,0.25,2025-26,2025-26-NIU,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Colorado,Big 12,Power,40.0070061,-105.2664423,Boulder,,48.9,0.5,25,0.557,86.03,77,77,0.53125,2025-26,2025-26-Colorado,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
San Jose St.,Mountain West,Mid-Major,37.3351903,-121.881225,1,,113.7,0.083,17,0.3812,67.51,244,244,0.25,2025-26,2025-26-San Jose St.,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
Penn St.,Big Ten,Power,39.9512098,-75.1835561,Walnut Street,,55.7,0.5,32,0.5892,84.09,141,141,0.375,2025-26,2025-26-Penn St.,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
CSU Bakersfield,Big West,Low-Major,35.3472,-119.1041,Bakersfield,CA,192.0,0.091,1,0.025,45.14,330,330,0.2,2025-26,2025-26-CSU Bakersfield,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Maryland,Big Ten,Power,38.9904124,-76.9438586,College Park,,55.7,0.5,32,0.5892,84.09,138,138,0.3636363636363636,2025-26,2025-26-Maryland,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Miami (OH),MAC,Low-Major,39.5094198,-84.7311546,South Patterson Avenue,,200.5,0.154,3,0.057,42.71,64,64,0.9655172413793104,2025-26,2025-26-Miami (OH),Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Winthrop,Big South,Low-Major,34.9391204,-81.0324911,Sumter Avenue,,236.7,0.111,3,0.085,32.37,131,131,0.6451612903225806,2025-26,2025-26-Winthrop,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Vanderbilt,SEC,Power,36.1438011,-86.8028189,2201,,46.4,0.625,34,0.5916,86.74,13,13,0.7878787878787878,2025-26,2025-26-Vanderbilt,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Holy Cross,Patriot,Low-Major,42.2366865,-71.8070248,1,,280.7,0.1,5,0.1538,19.8,331,331,0.2903225806451613,2025-26,2025-26-Holy Cross,Low-Major,10.0,61.14,0.0,311.1,1,5,15.38,36.24,47.92,0.0,60.97,51.52,36.21,9,42.86,11,1459.0,1980.0
Rutgers,Big Ten,Power,40.5204169,-74.4645303,Dewey Court,,55.7,0.5,32,0.5892,84.09,135,135,0.4242424242424242,2025-26,2025-26-Rutgers,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Lipscomb,ASUN,Low-Major,36.1050717,-86.7986409,Burton Avenue,,259.9,0.083,4,0.0816,25.74,193,193,0.5666666666666667,2025-26,2025-26-Lipscomb,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
California,ACC,Power,37.8754996,-122.2390685,Berkeley,,62.0,0.444,19,0.3154,82.29,68,68,0.6451612903225806,2025-26,2025-26-California,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Purdue,Big Ten,Power,40.430028,-86.9264211,610,,55.7,0.5,32,0.5892,84.09,9,9,0.7647058823529411,2025-26,2025-26-Purdue,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Kentucky,SEC,Power,38.0266291,-84.5047222,101,,46.4,0.625,34,0.5916,86.74,28,28,0.6176470588235294,2025-26,2025-26-Kentucky,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Duquesne,Atlantic 10,Mid-Major,40.4381017,-79.9896684,Forbes Avenue,,132.2,0.143,5,0.0838,62.23,133,133,0.5161290322580645,2025-26,2025-26-Duquesne,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
BYU,Big 12,Power,40.2554083,-111.6496832,800 North,,48.9,0.5,25,0.557,86.03,23,23,0.6764705882352942,2025-26,2025-26-BYU,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Marshall,Sun Belt,Low-Major,38.4236258,-82.4274024,1,,226.1,0.071,4,0.0804,35.4,171,171,0.5806451612903226,2025-26,2025-26-Marshall,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Tennessee,SEC,Power,35.9516352,-83.9308819,Knoxville,,46.4,0.625,34,0.5916,86.74,20,20,0.6666666666666666,2025-26,2025-26-Tennessee,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Queens (NC),ASUN,Low-Major,35.1889,-80.7326,Charlotte,NC,259.9,0.083,4,0.0816,25.74,189,189,0.6060606060606061,2025-26,2025-26-Queens (NC),Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
IU Indy,Horizon,Low-Major,39.7747586,-86.1769528,420,,221.2,0.091,3,0.089,36.8,319,319,0.1666666666666666,2025-26,2025-26-IU Indy,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
ULM,Sun Belt,Low-Major,32.5318286,-92.0658112,700,,226.1,0.071,4,0.0804,35.4,355,355,0.066666667,2025-26,2025-26-ULM,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Providence,Big East,Power,41.8442938,-71.4354886,1,,67.5,0.273,19,0.487,80.71,81,81,0.4545454545454545,2025-26,2025-26-Providence,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Memphis,American,Low-Major,35.1189387,-89.9372196,Zack H Curlin Street,,160.3,0.077,8,0.1528,54.2,134,134,0.40625,2025-26,2025-26-Memphis,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Southern Ill.,MVC,Mid-Major,37.7083423,-89.2275556,1263,,141.1,0.091,5,0.1096,59.69,120,120,0.4838709677419355,2025-26,2025-26-Southern Ill.,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Col. of Charleston,CAA,Low-Major,32.7840902,-79.9380024,66,,192.4,0.077,3,0.0756,45.03,162,162,0.6451612903225806,2025-26,2025-26-Col. of Charleston,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Liberty,CUSA,Low-Major,37.3539467,-79.1531533,1971,,188.7,0.083,4,0.0954,46.09,106,106,0.7586206896551724,2025-26,2025-26-Liberty,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Bradley,MVC,Mid-Major,40.6981131,-89.6155139,1501,,141.1,0.091,5,0.1096,59.69,113,113,0.625,2025-26,2025-26-Bradley,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Oakland,Horizon,Low-Major,42.6666333,-83.2065575,201,,221.2,0.091,3,0.089,36.8,175,175,0.4838709677419355,2025-26,2025-26-Oakland,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
Central Conn. St.,NEC,Low-Major,41.6929278,-72.765429,1615,,304.0,0.1,4,0.1354,13.14,289,289,0.5714285714285714,2025-26,2025-26-Central Conn. St.,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Syracuse,ACC,Power,43.0171129,-76.1185536,Tecumseh Road,,62.0,0.444,19,0.3154,82.29,86,86,0.46875,2025-26,2025-26-Syracuse,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
UC Riverside,Big West,Low-Major,33.9642576,-117.3398097,Riverside,,192.0,0.091,1,0.025,45.14,273,273,0.2666666666666666,2025-26,2025-26-UC Riverside,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Florida St.,ACC,Power,27.7627389,-82.6361822,140,,62.0,0.444,19,0.3154,82.29,62,62,0.5454545454545454,2025-26,2025-26-Florida St.,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Southern California,Big Ten,Power,34.021869,-118.2858579,Harbor Freeway,,55.7,0.5,32,0.5892,84.09,79,79,0.5483870967741935,2025-26,2025-26-Southern California,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Howard,MEAC,Low-Major,38.9218972,-77.0195931,2400,,330.9,0.125,5,0.1414,5.46,203,203,0.6551724137931034,2025-26,2025-26-Howard,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
UMES,MEAC,Low-Major,38.2107,-75.6855,Princess Anne,MD,330.9,0.125,5,0.1414,5.46,351,351,0.2333333333333333,2025-26,2025-26-UMES,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
North Dakota St.,Summit League,Low-Major,46.897155,-96.8182654,12th Avenue North,,238.9,0.111,3,0.0786,31.74,114,114,0.7741935483870968,2025-26,2025-26-North Dakota St.,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
Washington,Big Ten,Power,47.6554303,-122.3001692,1410,,55.7,0.5,32,0.5892,84.09,57,57,0.4848484848484848,2025-26,2025-26-Washington,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Fordham,Atlantic 10,Mid-Major,40.8617344,-73.8860317,441,,132.2,0.143,5,0.0838,62.23,174,174,0.4827586206896552,2025-26,2025-26-Fordham,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
LMU (CA),WCC,Mid-Major,36.5718381,-83.661624,6965,,137.4,0.25,9,0.241,60.74,179,179,0.4516129032258064,2025-26,2025-26-LMU (CA),High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Saint Louis,Atlantic 10,Mid-Major,38.6472402,-90.3084017,1,,132.2,0.143,5,0.0838,62.23,30,30,0.84375,2025-26,2025-26-Saint Louis,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Chattanooga,SoCon,Low-Major,35.0470904,-85.298257,615,,248.3,0.1,1,0.0222,29.06,288,288,0.3448275862068966,2025-26,2025-26-Chattanooga,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
VCU,Atlantic 10,Mid-Major,37.5461247,-77.4540609,907,,132.2,0.143,5,0.0838,62.23,43,43,0.7878787878787878,2025-26,2025-26-VCU,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Illinois St.,MVC,Mid-Major,38.9526899,-95.2454027,University Place,,141.1,0.091,5,0.1096,59.69,95,95,0.6129032258064516,2025-26,2025-26-Illinois St.,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
New Orleans,Southland,Low-Major,30.0283526,-90.0668428,Elysian Fields Avenue,,221.2,0.083,3,0.0802,36.8,215,215,0.4545454545454545,2025-26,2025-26-New Orleans,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Northwestern,Big Ten,Power,42.0557157,-87.6752945,633,,55.7,0.5,32,0.5892,84.09,66,66,0.4411764705882353,2025-26,2025-26-Northwestern,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Temple,American,Low-Major,39.981188,-75.1562828,1801,,160.3,0.077,8,0.1528,54.2,167,167,0.4838709677419355,2025-26,2025-26-Temple,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Manhattan,MAAC,Low-Major,40.8125642,-73.9612954,West 122nd Street,,262.2,0.077,3,0.075,25.09,329,329,0.3548387096774194,2025-26,2025-26-Manhattan,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
UConn,Big East,Power,41.8111114,-72.2483889,Storrs Road,,67.5,0.273,19,0.487,80.71,10,10,0.8529411764705882,2025-26,2025-26-UConn,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Davidson,Atlantic 10,Mid-Major,40.8594824,-73.9043894,University Heights,,132.2,0.143,5,0.0838,62.23,115,115,0.5806451612903226,2025-26,2025-26-Davidson,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
UCF,Big 12,Power,28.599591,-81.1971284,4000,,48.9,0.5,25,0.557,86.03,51,51,0.65625,2025-26,2025-26-UCF,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Merrimack,MAAC,Low-Major,42.6519097,-71.3173628,Middlesex Street,,262.2,0.077,3,0.075,25.09,180,180,0.6764705882352942,2025-26,2025-26-Merrimack,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Bellarmine,ASUN,Low-Major,38.2187504,-85.7058411,2001,,259.9,0.083,4,0.0816,25.74,285,285,0.3666666666666666,2025-26,2025-26-Bellarmine,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
Stetson,ASUN,Low-Major,29.0365347,-81.3005411,421,,259.9,0.083,4,0.0816,25.74,314,314,0.3225806451612903,2025-26,2025-26-Stetson,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
Michigan,Big Ten,Power,42.2942142,-83.7100389,500,,55.7,0.5,32,0.5892,84.09,2,2,0.9393939393939394,2025-26,2025-26-Michigan,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
